order_id,customer_id,order_date,sales_channel,order_status
ORD00038,CUST0157,2024-08-04,Distributor,Completed
ORD00039,CUST0354,2024-10-26,Store,Completed
ORD00040,CUST0459,2025-04-30,Distributor,Completed
ORD00041,CUST0210,2025-12-16,Store,Completed
ORD00042,CUST0072,2025-12-14,Online,Completed
ORD00043,CUST0188,2025-09-12,Distributor,Completed
ORD00044,CUST0243,2024-02-08,Store,Completed
ORD00045,CUST0121,2024-08-24,Online,Completed
ORD00046,CUST0155,2025-06-22,Store,Completed
ORD00047,CUST0240,2025-12-08,Online,Cancelled
ORD00048,CUST0171,2025-12-01,Store,Completed
ORD00049,CUST0139,2024-06-16,Online,Completed
ORD00050,CUST0248,2024-05-15,Store,Completed
ORD00051,CUST0325,2024-01-25,Online,Completed
ORD00052,CUST0478,2024-03-31,Online,Cancelled
ORD00053,CUST0090,2025-06-08,Distributor,Cancelled
ORD00054,CUST0132,2024-03-15,Distributor,Completed
ORD00055,CUST0021,2025-06-24,Distributor,Completed
ORD00056,CUST0232,2025-07-03,Store,Completed
ORD00057,CUST0194,2024-07-21,Distributor,Cancelled
ORD00058,CUST0290,2025-10-31,Online,Completed
ORD00059,CUST0367,2024-07-19,Distributor,Completed
ORD00060,CUST0405,2024-12-09,Distributor,Completed
ORD00061,CUST0396,2024-01-28,Store,Completed
ORD00062,CUST0129,2025-01-25,Online,Completed
ORD00063,CUST0382,2025-08-22,Online,Completed
ORD00064,CUST0237,2025-09-17,Store,Completed
ORD00065,CUST0165,2024-09-14,Online,Cancelled
ORD00066,CUST0126,2025-10-05,Store,Completed
ORD00067,CUST0206,2025-02-09,Distributor,Completed
ORD00068,CUST0102,2024-04-13,Store,Completed
ORD00069,CUST0207,2025-01-25,Store,Completed
ORD00070,CUST0405,2024-08-10,Online,Completed
ORD00071,CUST0401,2024-11-18,Store,Completed
ORD00072,CUST0106,2024-02-16,Store,Completed
ORD00073,CUST0255,2025-09-12,Online,Cancelled
ORD00074,CUST0404,2024-09-17,Store,Completed
ORD00075,CUST0193,2024-07-14,Store,Completed
ORD00076,CUST0287,2024-07-25,Distributor,Cancelled
ORD00077,CUST0312,2025-12-28,Distributor,Completed
ORD00078,CUST0182,2025-11-14,Store,Cancelled
ORD00079,CUST0394,2024-10-05,Online,Completed
ORD00080,CUST0438,2024-10-28,Online,Completed
ORD00081,CUST0256,2025-10-13,Online,Completed
ORD00082,CUST0286,2025-05-03,Store,Completed
ORD00083,CUST0304,2025-04-19,Online,Completed
ORD00084,CUST0262,2025-12-09,Distributor,Cancelled
ORD00085,CUST0011,2024-03-26,Online,Completed
ORD00086,CUST0084,2025-10-23,Online,Completed
ORD00087,CUST0317,2024-04-05,Store,Cancelled
ORD00088,CUST0149,2024-05-28,Store,Completed
ORD00089,CUST0149,2024-04-16,Distributor,Completed
ORD00090,CUST0445,2025-10-10,Distributor,Cancelled
ORD00091,CUST0468,2024-05-10,Online,Completed
ORD00092,CUST0184,2025-09-28,Store,Cancelled
ORD00093,CUST0343,2024-06-10,Distributor,Completed
ORD00094,CUST0081,2025-12-29,Store,Completed
ORD00095,CUST0247,2025-02-04,Online,Completed
ORD00096,CUST0172,2025-01-27,Store,Cancelled
ORD00097,CUST0431,2025-01-13,Store,Completed
ORD00098,CUST0020,2025-07-23,Distributor,Completed
ORD00099,CUST0002,2025-06-04,Online,Completed
ORD00100,CUST0457,2024-03-30,Distributor,Cancelled
ORD00101,CUST0108,2024-10-05,Online,Completed
ORD00102,CUST0494,2024-04-27,Distributor,Completed
ORD00103,CUST0005,2024-03-26,Distributor,Completed
ORD00104,CUST0247,2025-01-09,Distributor,Completed
ORD00105,CUST0440,2024-05-26,Distributor,Completed
ORD00106,CUST0340,2024-06-04,Online,Completed
ORD00107,CUST0019,2024-08-12,Distributor,Completed
ORD00108,CUST0187,2024-06-25,Store,Completed
ORD00109,CUST0363,2024-04-23,Distributor,Completed
ORD00110,CUST0057,2024-08-15,Distributor,Completed
ORD00111,CUST0455,2025-03-19,Store,Cancelled
ORD00112,CUST0436,2024-05-20,Online,Completed
ORD00113,CUST0339,2025-10-29,Distributor,Cancelled
ORD00114,CUST0331,2024-05-08,Online,Completed
ORD00115,CUST0409,2024-04-20,Distributor,Completed
ORD00116,CUST0132,2024-12-28,Online,Completed
ORD00117,CUST0129,2025-08-25,Store,Completed
ORD00118,CUST0108,2024-04-12,Store,Cancelled
ORD00119,CUST0094,2024-07-25,Distributor,Completed
ORD00120,CUST0443,2025-05-09,Distributor,Completed
ORD00121,CUST0100,2024-05-01,Store,Completed
ORD00122,CUST0062,2025-05-04,Online,Completed
ORD00123,CUST0488,2024-11-30,Store,Completed
ORD00124,CUST0445,2024-03-22,Distributor,Completed
ORD00125,CUST0378,2024-10-19,Store,Completed
ORD00126,CUST0250,2024-09-10,Distributor,Completed
ORD00127,CUST0075,2024-05-23,Distributor,Completed
ORD00128,CUST0055,2025-05-19,Online,Cancelled
ORD00129,CUST0073,2024-03-30,Online,Completed
ORD00130,CUST0063,2025-07-17,Store,Cancelled
ORD00131,CUST0113,2025-02-09,Distributor,Completed
ORD00132,CUST0186,2025-06-12,Distributor,Cancelled
ORD00133,CUST0172,2025-03-05,Distributor,Completed
ORD00134,CUST0136,2025-07-22,Store,Cancelled
ORD00135,CUST0179,2025-07-20,Store,Completed
ORD00136,CUST0450,2024-09-28,Store,Completed
ORD00137,CUST0327,2024-08-12,Store,Cancelled
ORD00138,CUST0179,2024-03-25,Online,Completed
ORD00139,CUST0222,2024-12-18,Distributor,Completed
ORD00140,CUST0317,2024-12-29,Distributor,Completed
ORD00141,CUST0137,2024-02-20,Online,Completed
ORD00142,CUST0053,2025-10-22,Store,Cancelled
ORD00143,CUST0108,2024-01-13,Distributor,Cancelled
ORD00144,CUST0244,2025-09-07,Distributor,Completed
ORD00145,CUST0086,2024-10-19,Store,Completed
ORD00146,CUST0491,2025-07-17,Store,Completed
ORD00147,CUST0336,2025-05-19,Store,Completed
ORD00148,CUST0298,2024-03-14,Online,Completed
ORD00149,CUST0324,2025-10-21,Store,Completed
ORD00150,CUST0451,2024-09-23,Store,Completed
ORD00151,CUST0061,2025-09-02,Online,Completed
ORD00152,CUST0085,2025-10-21,Store,Completed
ORD00153,CUST0370,2025-12-27,Distributor,Completed
ORD00154,CUST0156,2025-03-30,Store,Cancelled
ORD00155,CUST0369,2024-12-01,Store,Completed
ORD00156,CUST0135,2024-07-27,Store,Completed
ORD00157,CUST0212,2025-01-28,Store,Completed
ORD00158,CUST0459,2024-11-19,Online,Cancelled
ORD00159,CUST0411,2024-10-22,Store,Completed
ORD00160,CUST0089,2024-07-20,Store,Completed
ORD00161,CUST0334,2024-04-21,Store,Completed
ORD00162,CUST0397,2025-03-14,Online,Completed
ORD00163,CUST0135,2024-09-11,Distributor,Completed
ORD00164,CUST0180,2025-04-27,Store,Completed
ORD00165,CUST0323,2024-11-25,Online,Cancelled
ORD00166,CUST0384,2025-05-23,Store,Completed
ORD00167,CUST0255,2025-11-22,Distributor,Completed
ORD00168,CUST0429,2024-09-12,Store,Completed
ORD00169,CUST0067,2024-02-26,Store,Cancelled
ORD00170,CUST0304,2024-06-22,Distributor,Cancelled
ORD00171,CUST0293,2024-02-21,Distributor,Completed
ORD00172,CUST0072,2024-01-14,Online,Completed
ORD00173,CUST0113,2025-05-26,Store,Completed
ORD00174,CUST0302,2025-07-08,Online,Cancelled
ORD00175,CUST0485,2024-04-27,Online,Completed
ORD00176,CUST0167,2024-09-21,Distributor,Completed
ORD00177,CUST0447,2025-07-07,Online,Completed
ORD00178,CUST0005,2025-04-13,Store,Cancelled
ORD00179,CUST0179,2024-10-02,Distributor,Completed
ORD00180,CUST0257,2024-07-05,Store,Completed
ORD00181,CUST0012,2025-11-04,Store,Completed
ORD00182,CUST0209,2024-11-21,Store,Completed
ORD00183,CUST0220,2025-04-05,Store,Completed
ORD00184,CUST0186,2024-06-05,Distributor,Cancelled
ORD00185,CUST0226,2024-04-13,Distributor,Completed
ORD00186,CUST0376,2025-07-26,Distributor,Completed
ORD00187,CUST0123,2024-09-21,Distributor,Completed
ORD00188,CUST0003,2025-10-06,Online,Cancelled
ORD00189,CUST0244,2025-05-27,Store,Completed
ORD00190,CUST0437,2024-10-30,Distributor,Cancelled
ORD00191,CUST0390,2025-07-12,Distributor,Completed
ORD00192,CUST0071,2024-05-01,Distributor,Completed
ORD00193,CUST0031,2024-07-16,Distributor,Completed
ORD00194,CUST0200,2024-06-08,Distributor,Completed
ORD00195,CUST0474,2025-12-05,Online,Completed
ORD00196,CUST0335,2024-10-04,Distributor,Completed
ORD00197,CUST0036,2025-07-25,Distributor,Completed
ORD00198,CUST0172,2024-05-22,Store,Cancelled
ORD00199,CUST0035,2024-02-16,Store,Completed
ORD00200,CUST0024,2025-05-19,Store,Completed
ORD00201,CUST0406,2025-06-06,Store,Completed
ORD00202,CUST0410,2024-10-04,Store,Cancelled
ORD00203,CUST0466,2025-06-27,Distributor,Cancelled
ORD00204,CUST0198,2025-03-04,Online,Completed
ORD00205,CUST0156,2024-10-01,Online,Completed
ORD00206,CUST0076,2025-03-25,Distributor,Completed
ORD00207,CUST0263,2025-11-17,Store,Completed
ORD00208,CUST0071,2025-02-15,Store,Completed
ORD00209,CUST0144,2025-12-04,Store,Completed
ORD00210,CUST0291,2024-03-12,Online,Completed
ORD00211,CUST0236,2024-04-13,Store,Completed
ORD00212,CUST0380,2024-04-07,Distributor,Completed
ORD00213,CUST0402,2025-08-29,Store,Completed
ORD00214,CUST0486,2025-11-13,Online,Completed
ORD00215,CUST0328,2024-06-16,Distributor,Completed
ORD00216,CUST0090,2025-02-27,Store,Completed
ORD00217,CUST0344,2024-07-04,Online,Completed
ORD00218,CUST0077,2025-10-18,Store,Completed
ORD00219,CUST0146,2025-10-12,Distributor,Completed
ORD00220,CUST0201,2025-04-06,Online,Cancelled
ORD00221,CUST0391,2025-10-05,Online,Cancelled
ORD00222,CUST0070,2024-01-11,Store,Cancelled
ORD00223,CUST0326,2025-09-03,Store,Cancelled
ORD00224,CUST0303,2025-03-14,Online,Cancelled
ORD00225,CUST0127,2025-01-01,Distributor,Completed
ORD00226,CUST0126,2024-07-29,Distributor,Cancelled
ORD00227,CUST0331,2025-09-20,Store,Completed
ORD00228,CUST0344,2025-11-02,Online,Completed
ORD00229,CUST0343,2025-04-19,Online,Cancelled
ORD00230,CUST0455,2025-11-12,Distributor,Cancelled
ORD00231,CUST0485,2025-10-22,Distributor,Completed
ORD00232,CUST0427,2024-01-29,Store,Completed
ORD00233,CUST0486,2025-04-30,Store,Completed
ORD00234,CUST0145,2025-05-12,Distributor,Completed
ORD00235,CUST0183,2024-02-09,Distributor,Completed
ORD00236,CUST0106,2025-03-15,Store,Completed
ORD00237,CUST0240,2025-05-21,Distributor,Cancelled
ORD00238,CUST0458,2025-04-16,Online,Completed
ORD00239,CUST0051,2024-06-09,Online,Completed
ORD00240,CUST0302,2025-04-16,Store,Completed
ORD00241,CUST0254,2024-08-20,Store,Completed
ORD00242,CUST0046,2024-12-09,Distributor,Cancelled
ORD00243,CUST0167,2024-12-28,Online,Completed
ORD00244,CUST0206,2024-06-24,Store,Completed
ORD00245,CUST0300,2025-09-26,Store,Completed
ORD00246,CUST0300,2025-05-14,Store,Completed
ORD00247,CUST0374,2024-01-20,Online,Completed
ORD00248,CUST0227,2024-03-05,Distributor,Completed
ORD00249,CUST0489,2024-09-07,Distributor,Completed
ORD00250,CUST0033,2024-05-05,Distributor,Cancelled
ORD00251,CUST0458,2025-08-13,Online,Completed
ORD00252,CUST0014,2025-10-05,Distributor,Completed
ORD00253,CUST0033,2025-01-12,Online,Completed
ORD00254,CUST0097,2024-12-31,Store,Completed
ORD00255,CUST0336,2025-03-04,Store,Completed
ORD00256,CUST0022,2024-03-15,Online,Completed
ORD00257,CUST0267,2024-01-20,Online,Completed
ORD00258,CUST0249,2025-08-04,Online,Completed
ORD00259,CUST0106,2024-10-26,Online,Completed
ORD00260,CUST0212,2024-01-24,Online,Completed
ORD00261,CUST0077,2025-01-20,Distributor,Completed
ORD00262,CUST0105,2025-08-06,Distributor,Cancelled
ORD00263,CUST0311,2025-01-15,Store,Completed
ORD00264,CUST0019,2024-11-29,Online,Completed
ORD00265,CUST0231,2024-03-30,Store,Completed
ORD00266,CUST0001,2025-09-11,Store,Completed
ORD00267,CUST0188,2025-05-14,Store,Completed
ORD00268,CUST0433,2024-01-15,Online,Completed
ORD00269,CUST0433,2025-10-10,Store,Completed
ORD00270,CUST0391,2024-03-16,Distributor,Completed
ORD00271,CUST0270,2025-04-12,Store,Completed
ORD00272,CUST0443,2025-12-17,Online,Completed
ORD00273,CUST0333,2024-11-23,Store,Completed
ORD00274,CUST0412,2024-01-25,Distributor,Completed
ORD00275,CUST0413,2025-12-20,Online,Completed
ORD00276,CUST0022,2025-12-19,Online,Completed
ORD00277,CUST0220,2025-02-25,Online,Completed
ORD00278,CUST0152,2025-06-19,Online,Cancelled
ORD00279,CUST0077,2025-02-15,Store,Cancelled
ORD00280,CUST0160,2024-07-02,Online,Completed
ORD00281,CUST0076,2025-08-18,Store,Completed
ORD00282,CUST0243,2024-12-27,Online,Completed
ORD00283,CUST0178,2024-01-28,Distributor,Completed
ORD00284,CUST0431,2024-06-28,Online,Completed
ORD00285,CUST0372,2025-04-04,Online,Completed
ORD00286,CUST0472,2024-08-12,Distributor,Cancelled
ORD00287,CUST0413,2024-06-06,Store,Completed
ORD00288,CUST0064,2024-02-11,Distributor,Completed
ORD00289,CUST0184,2025-11-10,Store,Completed
ORD00290,CUST0354,2024-12-06,Store,Completed
ORD00291,CUST0167,2024-10-12,Online,Completed
ORD00292,CUST0091,2024-05-21,Distributor,Completed
ORD00293,CUST0475,2024-09-05,Online,Cancelled
ORD00294,CUST0318,2024-04-17,Distributor,Completed
ORD00295,CUST0126,2024-10-19,Store,Completed
ORD00296,CUST0335,2024-09-07,Online,Completed
ORD00297,CUST0347,2024-11-09,Store,Completed
ORD00298,CUST0036,2024-03-01,Store,Cancelled
ORD00299,CUST0075,2025-03-17,Store,Completed
ORD00300,CUST0196,2024-06-09,Distributor,Completed
ORD00301,CUST0147,2024-01-31,Online,Completed
ORD00302,CUST0191,2025-11-04,Online,Completed
ORD00303,CUST0355,2025-01-11,Store,Completed
ORD00304,CUST0252,2025-07-28,Store,Completed
ORD00305,CUST0308,2025-05-07,Store,Completed
ORD00306,CUST0445,2025-01-13,Distributor,Cancelled
ORD00307,CUST0420,2025-09-14,Store,Cancelled
ORD00308,CUST0468,2025-10-17,Online,Cancelled
ORD00309,CUST0188,2025-05-28,Online,Completed
ORD00310,CUST0228,2024-07-11,Online,Cancelled
ORD00311,CUST0052,2024-05-19,Online,Completed
ORD00312,CUST0016,2024-10-25,Distributor,Completed
ORD00313,CUST0052,2025-08-31,Distributor,Cancelled
ORD00314,CUST0222,2024-05-08,Store,Completed
ORD00315,CUST0024,2024-07-10,Online,Completed
ORD00316,CUST0240,2024-05-07,Store,Completed
ORD00317,CUST0116,2025-12-08,Distributor,Completed
ORD00318,CUST0490,2025-12-29,Distributor,Completed
ORD00319,CUST0290,2024-06-25,Store,Completed
ORD00320,CUST0403,2024-04-25,Online,Completed
ORD00321,CUST0442,2025-05-27,Distributor,Completed
ORD00322,CUST0025,2025-06-08,Store,Completed
ORD00323,CUST0494,2025-10-27,Store,Completed
ORD00324,CUST0293,2024-03-29,Distributor,Completed
ORD00325,CUST0360,2024-01-03,Distributor,Completed
ORD00326,CUST0252,2024-03-14,Online,Completed
ORD00327,CUST0437,2024-12-27,Distributor,Cancelled
ORD00328,CUST0267,2025-04-05,Distributor,Completed
ORD00329,CUST0470,2024-12-12,Distributor,Completed
ORD00330,CUST0140,2025-03-25,Store,Completed
ORD00331,CUST0044,2025-12-22,Online,Completed
ORD00332,CUST0391,2025-11-03,Store,Completed
ORD00333,CUST0243,2024-10-25,Store,Cancelled
ORD00334,CUST0212,2024-04-23,Store,Completed
ORD00335,CUST0440,2024-12-10,Distributor,Completed
ORD00336,CUST0054,2024-10-06,Distributor,Completed
ORD00337,CUST0014,2024-01-16,Online,Completed
ORD00338,CUST0054,2025-09-04,Online,Completed
ORD00339,CUST0342,2025-03-03,Online,Completed
ORD00340,CUST0077,2024-02-14,Distributor,Completed
ORD00341,CUST0137,2024-07-18,Distributor,Cancelled
ORD00342,CUST0471,2025-02-05,Online,Completed
ORD00343,CUST0034,2025-10-16,Store,Completed
ORD00344,CUST0147,2025-07-25,Online,Cancelled
ORD00345,CUST0099,2025-12-22,Store,Completed
ORD00346,CUST0025,2024-04-01,Online,Cancelled
ORD00347,CUST0106,2025-11-27,Distributor,Completed
ORD00348,CUST0366,2025-01-25,Distributor,Completed
ORD00349,CUST0020,2025-07-28,Store,Completed
ORD00350,CUST0392,2025-03-16,Store,Cancelled
ORD00351,CUST0270,2024-07-19,Distributor,Completed
ORD00352,CUST0048,2024-07-06,Distributor,Completed
ORD00353,CUST0208,2024-01-16,Online,Completed
ORD00354,CUST0201,2025-09-14,Distributor,Cancelled
ORD00355,CUST0225,2025-09-09,Distributor,Completed
ORD00356,CUST0073,2025-04-12,Online,Completed
ORD00357,CUST0043,2025-12-15,Distributor,Completed
ORD00358,CUST0228,2024-08-17,Distributor,Completed
ORD00359,CUST0483,2025-12-20,Store,Cancelled
ORD00360,CUST0037,2024-03-09,Distributor,Completed
ORD00361,CUST0169,2024-10-16,Online,Completed
ORD00362,CUST0108,2024-08-27,Store,Completed
ORD00363,CUST0249,2024-11-12,Store,Completed
ORD00364,CUST0030,2025-04-06,Distributor,Completed
ORD00365,CUST0150,2024-06-12,Store,Completed
ORD00366,CUST0466,2024-03-17,Store,Completed
ORD00367,CUST0216,2024-08-16,Online,Completed
ORD00368,CUST0277,2024-05-27,Online,Completed
ORD00369,CUST0398,2025-04-28,Distributor,Cancelled
ORD00370,CUST0270,2025-07-11,Distributor,Completed
ORD00371,CUST0260,2025-12-17,Distributor,Completed
ORD00372,CUST0064,2025-01-14,Store,Cancelled
ORD00373,CUST0077,2024-10-04,Store,Completed
ORD00374,CUST0208,2024-11-26,Online,Completed
ORD00375,CUST0240,2024-01-17,Distributor,Completed
ORD00376,CUST0360,2024-06-28,Online,Completed
ORD00377,CUST0058,2025-08-10,Distributor,Completed
ORD00378,CUST0013,2024-02-09,Online,Completed
ORD00379,CUST0090,2024-06-16,Store,Completed
ORD00380,CUST0107,2025-11-21,Store,Completed
ORD00381,CUST0480,2024-12-02,Online,Completed
ORD00382,CUST0055,2025-07-02,Online,Cancelled
ORD00383,CUST0026,2025-05-20,Online,Completed
ORD00384,CUST0461,2024-05-07,Online,Completed
ORD00385,CUST0483,2024-01-27,Store,Completed
ORD00386,CUST0395,2025-05-05,Online,Completed
ORD00387,CUST0014,2024-03-18,Store,Completed
ORD00388,CUST0145,2025-10-21,Store,Completed
ORD00389,CUST0005,2025-12-29,Distributor,Completed
ORD00390,CUST0341,2024-01-04,Store,Completed
ORD00391,CUST0221,2024-09-04,Online,Completed
ORD00392,CUST0151,2024-10-02,Store,Completed
ORD00393,CUST0237,2024-05-14,Distributor,Cancelled
ORD00394,CUST0061,2025-01-07,Online,Completed
ORD00395,CUST0255,2025-10-25,Distributor,Cancelled
ORD00396,CUST0325,2025-10-30,Distributor,Completed
ORD00397,CUST0032,2025-11-29,Distributor,Completed
ORD00398,CUST0237,2024-06-08,Distributor,Completed
ORD00399,CUST0147,2025-04-22,Online,Completed
ORD00400,CUST0058,2025-12-22,Distributor,Completed
ORD00401,CUST0217,2025-10-31,Online,Completed
ORD00402,CUST0073,2025-07-23,Distributor,Cancelled
ORD00403,CUST0241,2024-02-24,Store,Completed
ORD00404,CUST0134,2024-11-15,Online,Completed
ORD00405,CUST0251,2025-08-14,Store,Completed
ORD00406,CUST0369,2024-11-23,Store,Completed
ORD00407,CUST0182,2024-02-20,Distributor,Completed
ORD00408,CUST0038,2025-06-01,Online,Cancelled
ORD00409,CUST0177,2024-11-12,Online,Completed
ORD00410,CUST0335,2024-05-19,Online,Completed
ORD00411,CUST0462,2025-05-13,Distributor,Completed
ORD00412,CUST0412,2025-09-22,Online,Cancelled
ORD00413,CUST0356,2024-07-28,Store,Completed
ORD00414,CUST0471,2024-07-04,Online,Completed
ORD00415,CUST0445,2024-03-30,Distributor,Completed
ORD00416,CUST0243,2025-05-31,Distributor,Completed
ORD00417,CUST0395,2025-12-04,Store,Completed
ORD00418,CUST0494,2025-03-14,Store,Completed
ORD00419,CUST0487,2024-04-08,Distributor,Completed
ORD00420,CUST0313,2025-09-25,Store,Completed
ORD00421,CUST0225,2024-05-03,Online,Completed
ORD00422,CUST0007,2025-03-05,Distributor,Completed
ORD00423,CUST0135,2025-05-01,Store,Completed
ORD00424,CUST0171,2025-03-27,Distributor,Cancelled
ORD00425,CUST0400,2024-08-17,Store,Completed
ORD00426,CUST0154,2024-04-07,Store,Cancelled
ORD00427,CUST0262,2024-02-07,Distributor,Completed
ORD00428,CUST0433,2024-06-27,Distributor,Completed
ORD00429,CUST0420,2025-08-26,Distributor,Completed
ORD00430,CUST0177,2024-06-17,Online,Completed
ORD00431,CUST0020,2024-09-29,Store,Completed
ORD00432,CUST0281,2025-12-12,Distributor,Cancelled
ORD00433,CUST0144,2024-07-06,Store,Completed
ORD00434,CUST0048,2025-11-30,Online,Completed
ORD00435,CUST0274,2024-11-12,Online,Completed
ORD00436,CUST0174,2024-06-13,Distributor,Completed
ORD00437,CUST0076,2024-07-21,Online,Completed
ORD00438,CUST0413,2025-09-09,Distributor,Completed
ORD00439,CUST0042,2025-05-06,Online,Completed
ORD00440,CUST0394,2024-06-22,Distributor,Completed
ORD00441,CUST0445,2024-03-31,Store,Completed
ORD00442,CUST0100,2024-11-04,Distributor,Cancelled
ORD00443,CUST0148,2025-02-24,Store,Completed
ORD00444,CUST0292,2025-09-28,Online,Completed
ORD00445,CUST0175,2025-12-18,Online,Completed
ORD00446,CUST0200,2025-05-09,Distributor,Completed
ORD00447,CUST0173,2025-10-01,Store,Completed
ORD00448,CUST0449,2025-02-04,Distributor,Completed
ORD00449,CUST0436,2025-12-02,Distributor,Completed
ORD00450,CUST0283,2025-07-29,Online,Cancelled
ORD00451,CUST0153,2025-03-29,Store,Completed
ORD00452,CUST0030,2025-03-21,Store,Cancelled
ORD00453,CUST0007,2025-01-21,Distributor,Completed
ORD00454,CUST0047,2025-01-23,Distributor,Completed
ORD00455,CUST0226,2025-01-26,Online,Completed
ORD00456,CUST0058,2024-05-02,Distributor,Cancelled
ORD00457,CUST0387,2024-09-15,Online,Cancelled
ORD00458,CUST0437,2025-07-28,Online,Cancelled
ORD00459,CUST0208,2024-05-17,Store,Completed
ORD00460,CUST0325,2025-10-15,Store,Completed
ORD00461,CUST0351,2024-07-06,Distributor,Completed
ORD00462,CUST0029,2025-08-22,Online,Cancelled
ORD00463,CUST0231,2025-06-12,Distributor,Completed
ORD00464,CUST0153,2024-01-10,Store,Completed
ORD00465,CUST0332,2025-07-26,Store,Cancelled
ORD00466,CUST0144,2024-08-22,Online,Cancelled
ORD00467,CUST0011,2024-01-16,Distributor,Completed
ORD00468,CUST0401,2024-02-24,Distributor,Completed
ORD00469,CUST0196,2025-09-27,Store,Completed
ORD00470,CUST0265,2025-09-29,Online,Completed
ORD00471,CUST0051,2025-08-21,Distributor,Completed
ORD00472,CUST0488,2025-03-11,Distributor,Completed
ORD00473,CUST0075,2024-04-28,Distributor,Cancelled
ORD00474,CUST0300,2025-10-01,Online,Cancelled
ORD00475,CUST0178,2024-11-26,Online,Completed
ORD00476,CUST0432,2025-03-02,Distributor,Completed
ORD00477,CUST0321,2025-07-26,Online,Completed
ORD00478,CUST0410,2025-09-22,Online,Cancelled
ORD00479,CUST0234,2025-05-07,Online,Completed
ORD00480,CUST0098,2025-03-11,Store,Completed
ORD00481,CUST0337,2025-12-28,Distributor,Completed
ORD00482,CUST0271,2024-08-21,Store,Completed
ORD00483,CUST0303,2025-11-30,Store,Completed
ORD00484,CUST0181,2025-07-07,Store,Completed
ORD00485,CUST0191,2025-10-25,Distributor,Cancelled
ORD00486,CUST0226,2025-06-15,Online,Completed
ORD00487,CUST0346,2024-06-06,Distributor,Completed
ORD00488,CUST0257,2025-01-22,Online,Cancelled
ORD00489,CUST0181,2025-06-17,Online,Completed
ORD00490,CUST0113,2024-04-25,Distributor,Cancelled
ORD00491,CUST0258,2025-08-13,Store,Completed
ORD00492,CUST0005,2025-09-22,Store,Completed
ORD00493,CUST0492,2024-02-06,Distributor,Completed
ORD00494,CUST0287,2024-11-30,Online,Cancelled
ORD00495,CUST0031,2024-03-21,Store,Completed
ORD00496,CUST0438,2025-09-22,Online,Completed
ORD00497,CUST0430,2025-12-12,Store,Completed
ORD00498,CUST0133,2024-10-08,Distributor,Completed
ORD00499,CUST0182,2025-05-03,Store,Completed
ORD00500,CUST0438,2024-08-05,Store,Completed
ORD00501,CUST0274,2024-02-15,Online,Cancelled
ORD00502,CUST0488,2024-11-29,Store,Completed
ORD00503,CUST0013,2025-02-07,Online,Completed
ORD00504,CUST0208,2024-01-16,Distributor,Completed
ORD00505,CUST0336,2025-08-15,Distributor,Completed
ORD00506,CUST0008,2024-09-23,Distributor,Completed
ORD00507,CUST0310,2025-01-22,Store,Completed
ORD00508,CUST0209,2025-09-02,Distributor,Cancelled
ORD00509,CUST0171,2025-01-14,Store,Completed
ORD00510,CUST0218,2025-10-19,Distributor,Completed
ORD00511,CUST0189,2025-06-14,Online,Completed
ORD00512,CUST0063,2024-11-22,Store,Completed
ORD00513,CUST0442,2024-03-22,Online,Completed
ORD00514,CUST0491,2024-07-28,Store,Completed
ORD00515,CUST0420,2025-09-23,Distributor,Cancelled
